name,category,Protein,Carbohydrates,Sugar,Fat,Sodium,nutrient_grade,allergen,nutrient_score,grade
PARLE hide&seek400g - 412.5,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans",57.0,C
8901725114404,biscuits,5.9,72.7,36.6,9.1,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans",57.0,C
Britannia Marie Gold,biscuits,7.9,79.5,20.8,5.1,0.79,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Wafer richeese - Nabati,biscuits,6.0,71.0,33.0,9.0,0.512,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
8906065032647,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Milk Bikis -  - 200 g,biscuits,7.0,68.0,31.5,13.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Britannia nutri choice,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Cadbury Oreo Vanilla 481.25g - 581.25 g,biscuits,5.2,71.9,38.8,9.7,1.05,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",70.0,B
Original Oreo,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",57.0,C
Oats and Raisins Cookies - Sunfeast - 150g,biscuits,7.5,68.0,17.4,9.8,0.745,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean",70.0,B
Nutri crunch DIGESTIVES - 1kg,biscuits,6.5,70.8,14.4,2.0,0.628,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean",70.0,B
Max Protein GrainBreakfast Cookie - RiteBite - weight 55g,biscuits,18.2,45.1,12.7,14.7,0.55,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean",70.0,B
Glouse - Sunfeast - 88,biscuits,7.1,78.8,28.5,0.01,1.438,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean",70.0,B
milk bikis - Britannia - 100 g,biscuits,7.0,68.5,27.7,1.8,0.51,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean",70.0,B
Brit 100% veg cake - Britannia,biscuits,6.5,26.0,25.9,7.9,0.658,Nutri-Score E,"Allergens: Gluten, Milk",,
Tiger glucose biscuit - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Britannia 5050 maska chaska (300g),biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Bourbon Dark Fantasy Biscuit - Sunfeast - 111.6 g,biscuits,5.4,73.5,34.2,0.1,0.233,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Nutri Choice Seeds - Britannia - 75 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Patanjaali biscuits - 800g,biscuits,0.0,0.0,0.0,0.0,0.0,Not available,"Allergens: Gluten, Milk, Soybeans",,
cadbury,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans",57.0,C
Hide & Seek Caffé Mocha - Parle - 100g,biscuits,5.8,73.6,31.7,9.2,0.355,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans",70.0,B
8901719122224,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans",70.0,B
Mayora Malkist Chocolate Flavored Sandwich Cracker Biscuits,biscuits,7.6,66.4,21.3,14.2,1.318,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
dark fantasy - Sunfeast - 20,biscuits,5.7,63.9,37.6,11.4,0.1,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk",57.0,C
Snakker - Priyagold - 24 g,biscuits,5.9,64.6,51.0,0.1,0.31,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk",78.0,A
balaji wafers chataka pataka - 25g,biscuits,7.0,63.3,2.0,0.1,0.868,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk",87.0,A
Waffy Chocolate - Dukes - 60 g,biscuits,3.33,70.0,46.67,0.0,0.208,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites",57.0,C
Britannia 5050 Potazos 71.5g - 29.0g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites, Onion",70.0,B
Good Day - Britannia,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites, Onion",70.0,B
Potata - Pran - 75g,biscuits,8.0,72.8,22.0,5.6,2.45,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites, Onion",70.0,B
Oreo Strawberry Biscuit - 43.75,biscuits,5.2,71.5,38.3,0.1,1.05,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",57.0,C
Milk Bikis - Britannia - 33.5g,biscuits,7.0,45.0,27.0,6.0,0.006,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
KitKat,biscuits,6.5,47.4,37.8,23.0,0.0,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk, Soybeans",78.0,A
Britannia nutri choice 200g(sys),biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans",57.0,C
Unibic choco rs 5,biscuits,5.5,0.0,0.0,9.6,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Britannia Nice - Britannia Industries Ltd - 59.4g,biscuits,46.2,585.0,212.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Parle manaco 250g - Monaco - 250gm,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Britannia Thin Arrowroot - 150 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
KitKat Dark Chocolate Coated Wafer - Nestle - 150g,biscuits,3.9,45.5,37.4,0.04,0.024,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Nuts, Sesame seeds, Soybeans",52.0,C
Threptin Diskettes - 275g,biscuits,30.0,48.0,23.0,7.0,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk,70.0,B
Patanjali Marie biscuit 10 MRP,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk,70.0,B
Happy happy biscuit - Parle - Parle,biscuits,5.8,0.0,0.0,10.6,0.0,Not available,Not available,,
Dark Fantasy,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans",52.0,C
3948063139374,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Unibic Choco Chip Cookies,biscuits,5.8,68.0,29.0,0.0,0.532,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk, Soybeans",67.0,B
Milk Bikis - Britannia - 500 g,biscuits,8.3,72.0,23.1,8.8,0.718,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
8901063093416,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Dark Fantasy Choco Fills - Sunfeast - 10,biscuits,7.3,61.6,35.8,12.7,0.46,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
DAIRY MILK BISCUIT - Cadbury - 80g,biscuits,0.0,0.0,0.0,0.0,0.0,Ultra-processed foods,"Allergens: Gluten, Milk, Soybeans",,
Butter Cookies Sugar Free75g - Unibic,biscuits,6.3,65.0,0.5,0.0,0.212,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Dark fantasy buy3 get1 - Sunfeast,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk",57.0,C
Nice Sugar sprinkled coconut biscuits - Dukes - 150g,biscuits,7.4,74.0,28.2,7.5,0.625,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Moms magic Cashew & Almonds - Sunfeast - 197 gm,biscuits,7.9,67.2,22.7,0.06,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk",57.0,C
Butter Delite - priyagold - 35 g,biscuits,9.12,19.0,11.91,12.05,0.375,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk",70.0,B
Tiger Crunch biscuit 400g - Britannia,biscuits,6.0,72.0,30.0,8.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk",70.0,B
Good day Cashew - Britannia - 120 g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk",70.0,B
Parle -G (800g),biscuits,6.9,77.3,25.5,6.0,0.74,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk",70.0,B
Milk bikis - Britannia - 57.5g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Unibic Sugar Free Buscits,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Choco Blast Sandwich Biscuits - Bisky Bites - 500g,biscuits,4.9,68.5,34.5,9.5,1.047,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
5050 - Britannia - 38g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Biscott - Unibic - 250g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Orange Creams - Mc Vitie's - 61.2g,biscuits,6.1,74.3,32.8,0.0,0.48,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Milk",54.0,C
Butter Biscuits - Open Secrets,biscuits,1.4,9.5,2.1,3.0,0.135,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Marie - Parle,biscuits,7.7,77.2,20.0,5.7,0.578,Nutri-Score D,"Allergens: Gluten, Milk",,
Hide & Seek Choco Rolls - Parle - 250g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans",57.0,C
treat burst - Britannia - 14g,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans",57.0,C
farmlite oats & chocolate Cookies - Sunfeast - 150 g,biscuits,11.0,63.6,25.3,0.0,0.622,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans",57.0,C
McVitie's Digestive - 959.1g,biscuits,7.3,67.1,17.0,2.2,1.208,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Mc vities hobnobs,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Americana Coconut Cookies,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Cantucci Toscani - Fine food - 250 g e,biscuits,12.0,64.0,24.0,3.5,0.775,Green-Score C,"Allergens: Eggs, Gluten, Milk, Nuts",,
Puff choco vanilla flavoured sandwich biscuits - Priyagold - 40g,biscuits,26.6,230.0,60.7,40.1,1.43,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans",70.0,B
Hide & Seek Cashew Butter - Parle - 150g,biscuits,6.8,66.6,21.0,0.15,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts",70.0,B
Nutri choise essentials - Britannia - 150 g,biscuits,7.0,72.0,0.0,8.6,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Apple, Gluten, Milk",70.0,B
Britannia Nutrichoice Digestive - britannnia - 250g,biscuits,9.1,68.0,13.1,2.3,0.92,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk",70.0,B
Brittania Maska chaska - Britannia,biscuits,7.0,60.0,10.0,13.0,0.0,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk",57.0,C
Choco rolls - Parle - 12.5 g,biscuits,4.6,65.9,37.0,12.6,0.245,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans",70.0,B
Hide & Seek Black Bourbon - Parle - 100 g,biscuits,5.2,75.7,42.6,0.0,0.432,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans",57.0,C
Milk Bikis - Britannia - 100g,biscuits,7.143,67.857,25.0,7.143,0.759,Green-Score B,"Allergens: Gluten, Soybeans",,
Oreo Cream Biscuit - Cadbury - 120 g,biscuits,5.3,71.4,38.0,9.8,1.05,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
1 pound,biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: C (Score: 54/100),Allergens: Gluten,54.0,C
"Sunfeast Nice, 75 g",biscuits,0.0,0.0,0.0,0.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans, Sulphur dioxide and sulphites",70.0,B
Oreo Original,biscuits,5.2,71.9,38.8,9.7,1.05,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans, Sulphur dioxide and sulphites",57.0,C
Fruit Biscuits - Karachi Bakery - 400g 7 serving,biscuits,5.4,61.0,18.75,0.0,0.0,Nutri-Score E,"Allergens: Gluten, Sesame seeds",,
Good Day Harmony - Britannia - 120 g,biscuits,7.2,64.8,21.5,2.8,0.549,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Milk, Nuts",54.0,C
Chocobakes - Cadbury - 75 g,biscuits,5.1,66.2,39.7,0.1,0.488,Green-Score B,"Allergens: Gluten, Milk",,
Oreo Cricket Edition - Cadbury,biscuits,5.3,71.4,37.9,9.8,1.05,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
Biscafe Biscuit 🍪 - Britannia - 100 gm,biscuits,6.8,71.8,21.5,0.0,1.155,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",87.0,A
Milk Bikis - Britannia,biscuits,7.0,75.0,27.0,6.0,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",70.0,B
Tiger glucose biscuits - Britannia - 49.7 grams,biscuits,7.5,76.6,24.1,6.5,0.317,Average impact of products of the same category: A (Score: 83/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites",83.0,A
UNIBIC Cashew Cookies - 75g,biscuits,7.5,63.0,25.0,0.0,0.308,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Nice Sugar Sprinkled Biscuits - Sunfeast,biscuits,7.5,72.4,31.6,10.9,0.0,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans",70.0,B
Hide&seek bisc - Parle - 1,biscuits,5.9,73.3,0.0,9.3,0.0,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten,70.0,B
