name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
BRITANNIA Cake Gobbles Fruity Fun - 110g,biscuits,6.1 g,58 g,27.1 g,0.1 g,?,0.21 g,Nutri-Score E,"Allergens: Eggs, Gluten"
Good Day Butter Cookies (25) - Britannia - 60g,biscuits,6.8 g,69.5 g,19 g,0 g,0 g,0.615 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Eggs, Gluten"
Tiger Krunch ChocoChips - Britannia - 31.5g,biscuits,+14%,+10%,-9%,-22%,,+53%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Eggs, Gluten"
Brittania Gobbles Chocolate Cake - 110g,biscuits,6 g,56 g,29.5 g,10 g,0 g,0 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk"
Britannia cake fruity fun - 50g,biscuits,6.1 g,58 g,27.1 g,0.1 g,?,0.535 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Eggs, Gluten"
Doodh Biscuits - Patanjali - 35 g,biscuits,7.2 g,72 g,24 g,8.3 g,6 g,0.872 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Good day cashew cookies - Britannia - 200,biscuits,6.6 g,67.7 g,20.8 g,0 g,?,0.568 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Britannia Nutri Choice Oats - 75 g,biscuits,8 g,68.5 g,18.4 g,3.2 g,8.4 g,0.385 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Britannia Marie Gold Biscuits - 68 g,biscuits,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans"
Good Day Cashew Cookies Medium Pack 600g - Britannia - 600 g,biscuits,7 g,65 g,22 g,0 g,0 g,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Parle - 22g,biscuits,9.2 g,72.7 g,0 g,?,0 g,0.1 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Nutri Choice Digestive - Britannia - 50 g,biscuits,8.6 g,68.4 g,14.4 g,0 g,6 g,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Oatmeal cookies Sugar free - Unibic,biscuits,6.2 g,56 g,0 g,13.9 g,6.2 g,0.462 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Britannia bourbon 100g,biscuits,5 g,72.7 g,38.3 g,10.1 g,?,0.119 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Gobbless Choco Chill Cake - Britannia - 50 g,biscuits,6 g,56 g,28.7 g,10 g,?,?,Average impact of products of the same category: C (Score: 47/100),"Allergens: Gluten, Milk, Soybeans"
britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Nutri choice Digestive - Britania,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
PARLE hide&seek400g - 412.5,biscuits,-12%,+7%,+26%,+17%,,-53%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
8901725114404,biscuits,5.9 g,72.7 g,36.6 g,9.1 g,0 g,0 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
Britannia Marie Gold,biscuits,7.9 g,79.5 g,20.8 g,5.1 g,-,0.79 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Wafer richeese - Nabati,biscuits,6 g,71 g,33 g,9 g,?,0.512 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
8906065032647,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Milk Bikis -  - 200 g,biscuits,7 g,68 g,31.5 g,13 g,?,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Britannia nutri choice,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Cadbury Oreo Vanilla 481.25g - 581.25 g,biscuits,5.2 g,71.9 g,38.8 g,9.7 g,?,1.05 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Original Oreo,biscuits,+3%,+2%,,,,+43%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Oats and Raisins Cookies - Sunfeast - 150g,biscuits,7.5 g,68 g,17.4 g,9.8 g,6.9 g,0.745 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean"
Nutri crunch DIGESTIVES - 1kg,biscuits,6.5 g,70.8 g,14.4 g,2 g,6.1 g,0.628 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean"
Max Protein GrainBreakfast Cookie - RiteBite - weight 55g,biscuits,18.2 g,45.1 g,12.7 g,14.7 g,7.27 g,0.55 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean"
Glouse - Sunfeast - 88,biscuits,7.1 g,78.8 g,28.5 g,0.01 g,?,1.438 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean"
milk bikis - Britannia - 100 g,biscuits,7 g,68.5 g,27.7 g,1.8 g,?,0.51 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soyabean"
Brit 100% veg cake - Britannia,biscuits,6.5 g,26 g,25.9 g,7.9 g,3 g,0.658 g,Nutri-Score E,"Allergens: Gluten, Milk"
Tiger glucose biscuit - Britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Britannia 5050 maska chaska (300g),biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Bourbon Dark Fantasy Biscuit - Sunfeast - 111.6 g,biscuits,5.4 g,73.5 g,34.2 g,0.1 g,?,0.233 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Nutri Choice Seeds - Britannia - 75 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Patanjaali biscuits - 800g,biscuits,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans"
cadbury,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Hide & Seek Caffé Mocha - Parle - 100g,biscuits,5.8 g,73.6 g,31.7 g,9.2 g,?,0.355 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans"
8901719122224,biscuits,+3%,+3%,-24%,-4%,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans"
Mayora Malkist Chocolate Flavored Sandwich Cracker Biscuits,biscuits,7.6 g,66.4 g,21.3 g,14.2 g,16.8 g,1.318 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
dark fantasy - Sunfeast - 20,biscuits,5.7 g,63.9 g,37.6 g,11.4 g,?,0.1 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Snakker - Priyagold - 24 g,biscuits,5.9 g,64.6 g,51 g,< 0.1 g,?,0.31 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk"
balaji wafers chataka pataka - 25g,biscuits,7 g,63.3 g,2 g,0.1 g,?,0.868 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk"
Waffy Chocolate - Dukes - 60 g,biscuits,3.33 g,70 g,46.67 g,0 g,0 g,0.208 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Britannia 5050 Potazos 71.5g - 29.0g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites, Onion"
Good Day - Britannia,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites, Onion"
Potata - Pran - 75g,biscuits,8 g,72.8 g,22 g,5.6 g,?,2.45 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites, Onion"
Oreo Strawberry Biscuit - 43.75,biscuits,5.2 g,71.5 g,38.3 g,0.1 g,0 g,1.05 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Milk Bikis - Britannia - 33.5g,biscuits,7 g,45 g,27 g,6 g,?,0.006 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
KitKat,biscuits,6.5 g,47.4 g,37.8 g,23 g,0 g,?,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk, Soybeans"
Britannia nutri choice 200g(sys),biscuits,,,Not available,,,,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Unibic choco rs 5,biscuits,5.5 g,?,Not available,9.6 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Britannia Nice - Britannia Industries Ltd - 59.4g,biscuits,46.2 g,585 g,212 g,0 g,?,0 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Parle manaco 250g - Monaco - 250gm,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Britannia Thin Arrowroot - 150 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
KitKat Dark Chocolate Coated Wafer - Nestle - 150g,biscuits,3.9 g,45.5 g,37.4 g,0.04 g,3.8 g,0.024 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Nuts, Sesame seeds, Soybeans"
Threptin Diskettes - 275g,biscuits,30 g,48 g,23 g,7 g,23 g,?,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk
Patanjali Marie biscuit 10 MRP,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk
Happy happy biscuit - Parle - Parle,biscuits,5.8 g,?,Not available,10.6 g,?,?,Not available,Not available
Dark Fantasy,biscuits,,,Not available,,,,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans"
3948063139374,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Unibic Choco Chip Cookies,biscuits,5.8 g,68 g,29 g,0 g,?,0.532 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk, Soybeans"
Milk Bikis - Britannia - 500 g,biscuits,8.3 g,72 g,23.1 g,8.8 g,5.3 g,0.718 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
8901063093416,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Dark Fantasy Choco Fills - Sunfeast - 10,biscuits,7.3 g,61.6 g,35.8 g,12.7 g,?,0.46 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
DAIRY MILK BISCUIT - Cadbury - 80g,biscuits,?,?,Not available,?,?,?,Ultra-processed foods,"Allergens: Gluten, Milk, Soybeans"
Butter Cookies Sugar Free75g - Unibic,biscuits,6.3 g,65 g,0.5 g,0 g,?,0.212 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Dark fantasy buy3 get1 - Sunfeast,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Nice Sugar sprinkled coconut biscuits - Dukes - 150g,biscuits,7.4 g,74 g,28.2 g,7.5 g,?,0.625 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Moms magic Cashew & Almonds - Sunfeast - 197 gm,biscuits,7.9 g,67.2 g,22.7 g,0.06 g,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk"
Butter Delite - priyagold - 35 g,biscuits,9.12 g,19 g,11.91 g,12.05 g,0 g,0.375 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk"
Tiger Crunch biscuit 400g - Britannia,biscuits,6 g,72 g,30 g,8 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk"
Good day Cashew - Britannia - 120 g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk"
Parle -G (800g),biscuits,6.9 g,77.3 g,25.5 g,6 g,?,0.74 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Nuts, Soybeans, Sulphur dioxide and sulphites, Milk"
Milk bikis - Britannia - 57.5g,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Unibic Sugar Free Buscits,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Choco Blast Sandwich Biscuits - Bisky Bites - 500g,biscuits,4.9 g,68.5 g,34.5 g,9.5 g,?,1.047 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
5050 - Britannia - 38g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Biscott - Unibic - 250g,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Orange Creams - Mc Vitie's - 61.2g,biscuits,6.1 g,74.3 g,32.8 g,0 g,2 g,0.48 g,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Milk"
Butter Biscuits - Open Secrets,biscuits,1.4 g,9.5 g,2.1 g,3 g,0.3 g,0.135 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Marie - Parle,biscuits,7.7 g,77.2 g,20 g,5.7 g,?,0.578 g,Nutri-Score D,"Allergens: Gluten, Milk"
Hide & Seek Choco Rolls - Parle - 250g,biscuits,,,Not available,,,,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
treat burst - Britannia - 14g,biscuits,,,Not available,,,,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
farmlite oats & chocolate Cookies - Sunfeast - 150 g,biscuits,11 g,63.6 g,25.3 g,0 g,4.6 g,0.622 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
McVitie's Digestive - 959.1g,biscuits,7.3 g,67.1 g,17 g,2.2 g,6.1 g,1.208 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Mc vities hobnobs,biscuits,,,Not available,,,,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Americana Coconut Cookies,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Cantucci Toscani - Fine food - 250 g e,biscuits,12 g,64 g,24 g,3.5 g,3 g,0.775 g,Green-Score C,"Allergens: Eggs, Gluten, Milk, Nuts"
Puff choco vanilla flavoured sandwich biscuits - Priyagold - 40g,biscuits,26.6 g,230 g,60.7 g,40.1 g,?,1.43 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Hide & Seek Cashew Butter - Parle - 150g,biscuits,6.8 g,66.6 g,21 g,< 0.15 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts"
Nutri choise essentials - Britannia - 150 g,biscuits,7 g,72 g,0 g,8.6 g,10 g,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Apple, Gluten, Milk"
Britannia Nutrichoice Digestive - britannnia - 250g,biscuits,9.1 g,68 g,13.1 g,2.3 g,7.3 g,0.92 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk"
Brittania Maska chaska - Britannia,biscuits,7 g,60 g,10 g,13 g,0 g,0 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk"
Choco rolls - Parle - 12.5 g,biscuits,4.6 g,65.9 g,37 g,12.6 g,?,0.245 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans"
Hide & Seek Black Bourbon - Parle - 100 g,biscuits,5.2 g,75.7 g,42.6 g,0 g,?,0.432 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
Milk Bikis - Britannia - 100g,biscuits,7.143 g,67.857 g,25 g,7.143 g,0 g,0.759 g,Green-Score B,"Allergens: Gluten, Soybeans"
Oreo Cream Biscuit - Cadbury - 120 g,biscuits,5.3 g,71.4 g,38 g,9.8 g,0 g,1.05 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
1 pound,biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 54/100),Allergens: Gluten
"Sunfeast Nice, 75 g",biscuits,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans, Sulphur dioxide and sulphites"
Oreo Original,biscuits,5.2 g,71.9 g,38.8 g,9.7 g,?,1.05 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans, Sulphur dioxide and sulphites"
Fruit Biscuits - Karachi Bakery - 400g 7 serving,biscuits,5.4 g,61 g,18.75 g,0 g,4.688 g,0 g,Nutri-Score E,"Allergens: Gluten, Sesame seeds"
Good Day Harmony - Britannia - 120 g,biscuits,7.2 g,64.8 g,21.5 g,2.8 g,?,0.549 g,Average impact of products of the same category: C (Score: 54/100),"Allergens: Gluten, Milk, Nuts"
Chocobakes - Cadbury - 75 g,biscuits,5.1 g,66.2 g,39.7 g,0.1 g,?,0.488 g,Green-Score B,"Allergens: Gluten, Milk"
Oreo Cricket Edition - Cadbury,biscuits,5.3 g,71.4 g,37.9 g,9.8 g,0 g,1.05 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
Biscafe Biscuit 🍪 - Britannia - 100 gm,biscuits,6.8 g,71.8 g,21.5 g,0 g,?,1.155 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Milk Bikis - Britannia,biscuits,7 g,75 g,27 g,6 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
Tiger glucose biscuits - Britannia - 49.7 grams,biscuits,7.5 g,76.6 g,24.1 g,6.5 g,?,0.317 g,Average impact of products of the same category: A (Score: 83/100),"Allergens: Gluten, Milk, Soybeans, Sulphur dioxide and sulphites"
UNIBIC Cashew Cookies - 75g,biscuits,7.5 g,63 g,25 g,0 g,?,0.308 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Nice Sugar Sprinkled Biscuits - Sunfeast,biscuits,7.5 g,72.4 g,31.6 g,10.9 g,?,?,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Hide&seek bisc - Parle - 1,biscuits,5.9 g,73.3 g,Not available,9.3 g,?,?,Average impact of products of the same category: B (Score: 70/100),Allergens: Gluten
