name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Dessert gourmand choco - Jaouda,chocolates,3.6 g,19.1 g,?,?,?,?,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Bimo - 41g,chocolates,-7%,+1%,-40%,+43%,-76%,-16%,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
Oreo - Original - Mondelez - 154 g,chocolates,5.6 g,67 g,35 g,5.4 g,2.9 g,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
Benco Original - 400g,chocolates,0.077 g,38.1 g,37.1 g,0.667 g,3.19 g,0.105 g,Average impact of products of the same category: C (Score: 54/100),Allergens: Gluten
Chocao energie,chocolates,6.1 g,86.1 g,?,?,?,?,Ultra-processed foods,Allergens: Gluten
"Crunchy Oats and Dark chocolate, 2 Barres de 21 g - Nature Valley - 42 gram",chocolates,7.14 g,69 g,28.6 g,3.57 g,7.14 g,0.802 g,Nutri-Score D,Allergens: Soybeans
Hot Chocolate Powder - Cadbury - 500 g,chocolates,10 g,76 g,73 g,3.4 g,9.3 g,0.02 g,Green-Score C,Allergens: Soybeans
High Protein Drink Chocolate Flavour - Milbona - 350 ml,chocolates,10.6 g,5.3 g,5.2 g,0.3 g,?,0.225 g,Green-Score C,Allergens: Milk
Cacao - Kinder - 39 g,chocolates,5.5 g,56.8 g,41 g,13.1 g,-,0.26 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
chocolat en poudre - Poulain - 450 g,chocolates,4 g,8.7 g,8.1 g,1.2 g,1.2 g,0.11 g,Average impact of products of the same category: C (Score: 54/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Chip Choco zero sin azúcares - Gullón - 125 g,chocolates,5.9 g,63 g,< 0.5 g,2 g,4 g,0.58 g,Green-Score D,"Allergens: Gluten, Soybeans"
Cocoa Powder - Green & Blacks - 125 g,chocolates,22 g,19 g,0.8 g,13 g,27 g,0.05 g,Unprocessed or minimally processed foods,"Allergens: Gluten, Soybeans"
Gocciole chocolate - Pavesi - 500g,chocolates,6.5 g,64 g,22 g,6.2 g,4.1 g,0.53 g,Green-Score D,"Allergens: Gluten, Milk, Soybeans"
85% Cocoa - Dark Chocolate - Moser Roth - 125 g,chocolates,10.8 g,21.8 g,13.2 g,32 g,13.2 g,0.38 g,Nutri-Score D,Allergens: Soybeans
Cacao puro desgrasado en polvo - Chocolates Valor - 265 g,chocolates,25.5 g,16.3 g,0.7 g,10.2 g,31.7 g,0.03 g,Unprocessed or minimally processed foods,Allergens: Soybeans
Kinder Cards - FERRERO SCANDINAVIA AB - 128 g,chocolates,11.5 g,55.9 g,42.9 g,13.5 g,-,0.445 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans"
Petites Madeleines pépites chocolat - St Michel - 400 g,chocolates,5.5 g,56 g,30 g,3.5 g,1.2 g,0.76 g,Green-Score D,"Allergens: Eggs, Gluten, Milk, Soybeans"
single origin milk chocolate - Marks & Spencer - 100g,chocolates,8.4 g,37.9 g,37.2 g,29.1 g,?,0.25 g,Processed foods,Allergens: Milk
Petit Cookies Pépites de chocolat - Bonne Maman - 250g,chocolates,7.3 g,60 g,35 g,17 g,3.6 g,0.44 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Kinder Bueno - 43g,chocolates,8.6 g,49.5 g,41.2 g,17.3 g,?,0.272 g,Average impact of products of the same category: C (Score: 53/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Chocolat Noisette - Jardin bio - 350 g,chocolates,6.2 g,55 g,52 g,5.6 g,3.3 g,0.06 g,Green-Score B,"Allergens: Milk, Nuts, Soybeans"
carrefour bio noir - puur - 100 g,chocolates,9.6 g,32 g,27 g,26 g,12 g,0.03 g,Green-Score C,Allergens: None
Belgian Dark Chocolate Rice Cake Thins imp - Kallø - 90g,chocolates,+22%,-11%,+98%,+836%,,-100%,Green-Score A,Allergens: None
Absolute black dark chocolate - Montezuma's - 90 g,chocolates,13 g,8 g,3 g,33 g,17 g,0.02 g,Processed foods,Allergens: None
Granola chocolat - Bjorg - 350 g,chocolates,10 g,62 g,12 g,3.1 g,7.5 g,0.01 g,Green-Score A,Allergens: None
Nutella Plant-Based - 350 g,chocolates,6.8 g,53.4 g,45.4 g,11 g,?,0.07 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Nuts, Soybeans"
Dark Chocolate Chip Oat Biscuits - Nairn's - 200 g,chocolates,8.1 g,63.8 g,19 g,7.7 g,6.7 g,0.775 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Soybeans"
chocolat au lait noisettes entières - Côte d'Or - 180g,chocolates,9.3 g,45 g,43 g,14 g,5.1 g,0.18 g,Green-Score D,"Allergens: Milk, Nuts, Soybeans"
Crousti' Avoine Chocolat - Bjorg - 500 g,chocolates,10 g,60 g,14 g,4.4 g,9.5 g,0.1 g,Green-Score A,Allergens: Gluten
Grand Arôme 32% de Cacao - Poulain - 800 g,chocolates,3.7 g,9.8 g,9.5 g,1.1 g,0.8 g,0.11 g,Average impact of products of the same category: C (Score: 54/100),Allergens: Gluten
Peru Dark Chocolate - tesco - 100g,chocolates,10 g,20 g,13 g,33 g,13 g,0.1 g,Nutri-Score D,Allergens: Gluten
merci Finest Selection Assorted Chocolates - Storck - 250g,chocolates,7.8 g,49.9 g,48 g,19.9 g,?,0.168 g,Nutri-Score E,"Allergens: Eggs, Milk, Nuts, Peanuts, Soybeans, Milk, Milk"
Noir 70% Intense - Côte d'Or - 100 g,chocolates,7.1 g,32 g,28 g,29 g,11 g,0.02 g,Green-Score E,"Allergens: Milk, Soybeans"
Milka wholenut,chocolates,8.1 g,49 g,47 g,15 g,?,0.3 g,Green-Score E,"Allergens: Milk, Soybeans"
B'ono Wafer - Excelo - ja,chocolates,6.4 g,51.5 g,29.5 g,15 g,?,0.03 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
"Bâtonnets de céréales fourrés (47,5 %) au chocolat - Cracotte Chocolat - LU - 200 g",chocolates,7.51 g,66.1 g,30 g,5.11 g,4.8 g,0.263 g,Green-Score A,"Allergens: Gluten, Milk, Soybeans"
L'Original - Cacao en poudre non sucré - Van houten - 250 g,chocolates,20 g,11 g,0.9 g,13 g,28 g,0.08 g,Unprocessed or minimally processed foods,Allergens: Peanuts
Dark Chocolate Nuts & Sea Salt Bars - KIND - 3 x 30g = 90g,chocolates,17 g,24 g,17 g,7.6 g,13 g,0.75 g,Nutri-Score D,"Allergens: Nuts, Peanuts, Soybeans"
Noir intense dessert 70% - Lindt - 200 g,chocolates,9 g,36 g,30 g,22 g,?,0.3 g,Green-Score E,Allergens: Soybeans
Original aux noisettes - Ferrero Rocher - 90 g,chocolates,6.11 g,46.1 g,45.6 g,21.7 g,?,0 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Gluten, Milk, Nuts, Soybeans"
Snickers unitario morat caja 41 - Snikers - 50g,chocolates,8.7 g,60 g,51 g,7.6 g,?,0.512 g,Nutri-Score E,"Allergens: Eggs, Milk, Nuts, Peanuts, Soybeans"
Banania Original - Cocoa Cereals With Hint Of Banana & Honey - 400 g,chocolates,5.6 g,79 g,69 g,1.4 g,6.7 g,0.06 g,Green-Score C,Allergens: Gluten
Twix Twin - Mars Wrigley - 50g,chocolates,4.4 g,64 g,49.2 g,14 g,1.6 g,0.4 g,Nutri-Score E,"Allergens: Gluten, Milk, Soybeans, Soybeans"
Oreo,chocolates,5.44 g,51.8 g,34.2 g,17.4 g,2.63 g,0.877 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Soybeans"
Granola Sante Czekoladowa - nutrition-sante - 350 g,chocolates,9.091 g,72.727 g,21.818 g,3.636 g,7.273 g,0.545 g,Average impact of products of the same category: A (Score: 82/100),"Allergens: Gluten, Soybeans, fr:avoine"
"Muesli con quinoa, chía y chocolate negro - Hacendado - 400 g",chocolates,9.8 g,60 g,18 g,4.3 g,10 g,0.11 g,Average impact of products of the same category: A (Score: 82/100),"Allergens: Gluten, Nuts"
Hazelnut Chocolate Spread - Bonne Maman - 250g,chocolates,6.7 g,53 g,51 g,1 g,3.3 g,0.098 g,Green-Score C,"Allergens: Milk, Nuts"
Nuss-Nougat-Creme - Choco Nussa - 400 g,chocolates,3.7 g,57.3 g,56.1 g,6.4 g,?,0.003 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts"
Excellence Noir Orange Intense Aux amandes effilées - Lindt - 100 g,chocolates,7 g,51 g,46 g,17 g,?,0.08 g,Average impact of products of the same category: A (Score: 76/100),"Allergens: Milk, Nuts, Soybeans"
"Kinder - Delice x10, 390g (13.8oz) - Euro",chocolates,5.5 g,58.8 g,41 g,13.1 g,?,0.262 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Fourrés chocolat lait noisettes - Bjorg - 225 g,chocolates,8 g,64 g,28 g,7.6 g,4 g,0.56 g,Green-Score B,"Allergens: Gluten, Milk, Nuts"
"Galettes de Riz au Chocolat Noir BIO - Sondey - 100 g (6 x 16,6 g)",chocolates,6.6 g,61 g,28 g,13 g,?,0 g,Green-Score B,"Allergens: Sesame seeds, Soybeans"
Chocolate - Kinder - 50 g,chocolates,8.7 g,53.5 g,53.5 g,22.6 g,-,0.308 g,Average impact of products of the same category: C (Score: 54/100),"Allergens: Milk, Soybeans, Palm"
Grand Arôme moins de sucre - Poulain - 400 g,chocolates,3.9 g,8.9 g,8.4 g,1.1 g,1.1 g,0.11 g,Green-Score C,"Allergens: Milk, Soybeans, Palm"
Nusskracher Voll-Nuss - Fin Carré - 100 g,chocolates,9 g,45.1 g,40.2 g,15.5 g,4.2 g,0.21 g,Green-Score C,"Allergens: Milk, Nuts, Soybeans"
Milk Chocolate - Tony's Chocolonely - 180g,chocolates,7.7 g,51.9 g,50.7 g,20 g,?,0.2 g,Green-Score D,"Allergens: Milk, Soybeans"
Noir 86% Extra intense - Côte d'Or - 100 g,chocolates,8.5 g,18 g,13 g,35 g,13 g,0.02 g,Green-Score D,"Allergens: Milk, Soybeans"
Nutella - Ferrero - 450g,chocolates,6.3 g,57.5 g,56.3 g,10.6 g,3.4 g,0.107 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Break Chocolate Fingers - 31 g,chocolates,9.2 g,57.6 g,41 g,0 g,2.8 g,0.255 g,Average impact of products of the same category: A (Score: 78/100),"Allergens: Gluten, Milk, Soybeans, Milk"
Nutella - Ferrero - 950unknown,chocolates,-2%,+11%,+20%,+45%,-100%,+5%,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts, Soybeans"
Tchicolata -  - 900g,chocolates,-48%,+68%,+103%,-100%,,-100%,Nutri-Score E,"Allergens: Milk, Nuts, Soybeans"
Knusper Müsli Schoko - Crownfield - 500 g,chocolates,10.9 g,59.8 g,13.7 g,5.8 g,9.1 g,0.41 g,Green-Score A+,"Allergens: Gluten, Milk, de:dinkelweizenmehl"
Extrem NOUGHAT & CHOCOLATE - Excelo,chocolates,6 g,68.8 g,40.3 g,7.8 g,50 g,0.17 g,Average impact of products of the same category: C (Score: 58/100),"Allergens: Gluten, Milk, de:dinkelweizenmehl"
Dark chocolate 75% - Marks & Spencer - 100g,chocolates,+21%,-16%,-17%,+16%,+20%,-82%,Processed foods,"Allergens: Gluten, Milk, de:dinkelweizenmehl"
Gallette di riso - Cioccolato al latte - Sondey - 100 g e,chocolates,7.4 g,61 g,30 g,14 g,?,0.038 g,Green-Score A,"Allergens: Milk, Sesame seeds, Soybeans"
Crunchy -,chocolates,4.7 g,48.6 g,34.3 g,16.5 g,?,0.25 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Milk, Sesame seeds, Soybeans"
chocapic - Nestlé - 1000 g,chocolates,8.9 g,73.6 g,22.4 g,1.3 g,7.7 g,0.22 g,Nutri-Score C,Allergens: Gluten
NESTLE CHOCAPIC Céréales 750g - 750 g,chocolates,8.8 g,73.6 g,22.4 g,2 g,7.5 g,0.22 g,Nutri-Score C,Allergens: Gluten
Ferrero - Nutella Biscuits - 166 g,chocolates,7.9 g,64 g,35.8 g,11.5 g,-,0.559 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Nuts, Soybeans, fr:gs1-t4078-ml"
FUEL10K Protein Boosted Chunky Chocolate Granola imp - Fuel - 400 g,chocolates,15.8 g,60.4 g,17.5 g,2.8 g,6.4 g,0.03 g,Nutri-Score C,Allergens: Gluten
Crema Al Cacao - Hacendado - 500 g,chocolates,4.4 g,56 g,?,?,2.9 g,0.128 g,Average impact of products of the same category: C (Score: 51/100),"Allergens: Milk, Nuts"
Chocolate For Change Single Origin 85% Cocoa Dark Chocolate - Coop - 100 g,chocolates,8.8 g,26 g,17 g,31 g,10 g,0.01 g,Green-Score D,"Allergens: Milk, Nuts"
Madagascan Dark Chocolate - Sainsburys Taste the Difference - 100g,chocolates,9.4 g,30.6 g,19.9 g,27.7 g,10.8 g,0.09 g,Processed foods,"Allergens: Milk, Nuts"
Pim's - Raspberry - Lu - 150 g,chocolates,3.4 g,65 g,48 g,5.8 g,2.8 g,0.45 g,Average impact of products of the same category: A (Score: 75/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Huel Ready-To-Drink - Chocolate - 1 Bottle,chocolates,4 g,6.5 g,0.6 g,800 mg,1.6 g,0.18 g,Green-Score A,"Allergens: Eggs, Gluten, Milk, Soybeans"
Chocolate 85% - mercadona - 100.g.,chocolates,12 g,20 g,14 g,30 g,14 g,0.03 g,Nutri-Score D,"Allergens: Gluten, Milk, Soybeans"
"Milk Chocolate - Fin Carré - 100 g (24 x 4,16 g)",chocolates,7 g,57.7 g,56.3 g,18.4 g,1.9 g,0.925 g,Green-Score C,"Allergens: Gluten, Milk, Nuts, Peanuts, Soybeans"
Dunkle Schokolade mit ganzen Haselnüssen - Fin Carré - 100 g,chocolates,8.6 g,34.4 g,30 g,17.9 g,8 g,0.01 g,Green-Score D,"Allergens: Milk, Nuts, Soybeans"
M&M's peanut - Mars Wrigley - 330 g,chocolates,9.8 g,60 g,53 g,11 g,?,0.11 g,Average impact of products of the same category: D (Score: 42/100),"Allergens: Milk, Peanuts, Soybeans"
Cake & Choc - Milka - 175 g,chocolates,5.4 g,56.5 g,31 g,4.1 g,1.5 g,0.6 g,Average impact of products of the same category: C (Score: 47/100),"Allergens: Eggs, Gluten, Milk, Soybeans"
Cookies chocolate Chip - Lidl - 225g,chocolates,7 g,58 g,32 g,14 g,4.1 g,0.78 g,Green-Score A,"Allergens: Eggs, Gluten, Milk, Soybeans, butterreinfett, huhnereieiweisspulver, huhnervollei, magermilchpulver, vollmilchpulver, weizenmehl, weizenstarke"
Florbú,chocolates,6.7 g,67 g,2.5 g,5.1 g,5 g,0.7 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Eggs, Gluten, Milk, Soybeans, butterreinfett, huhnereieiweisspulver, huhnervollei, magermilchpulver, vollmilchpulver, weizenmehl, weizenstarke"
High Protein Mousse lidl - Milbona - 175 gram,chocolates,10 g,3.83 g,3.43 g,0.571 g,1.31 g,0.8 g,Green-Score D,Allergens: Milk
Madagascar Dark Chocolate - J.D.Gross - 100 g,chocolates,10 g,46.7 g,26.7 g,23.3 g,10 g,0 g,Green-Score D,Allergens: Soybeans
Pâte à tartiner cacao noisettes bio - LIDL - 350 g,chocolates,6.4 g,59 g,57.6 g,4 g,?,0.12 g,Green-Score B,"Allergens: Milk, Nuts"
Pâte à tartiner Noir cacaopasta imp - Jardin bio - 350 g,chocolates,7.1 g,41 g,34 g,6.1 g,9.5 g,0.04 g,Nutri-Score D,Allergens: Soybeans
Véritable Petit écolier Pocket Chocolat au Lait - LU - 250g (10 x 25g),chocolates,6.5 g,65 g,40 g,15 g,2.6 g,0.64 g,Average impact of products of the same category: C (Score: 52/100),"Allergens: Gluten, Milk, Soybeans"
6111259344051,chocolates,2.7 g,30 g,54.8 g,?,?,0.04 g,Not available,"Allergens: Gluten, Milk, Soybeans"
Chocolat noir Noisettes entières - fin carre - 200 g,chocolates,8.3 g,40.4 g,36.8 g,15.5 g,7.5 g,0.01 g,Green-Score D,"Allergens: Eggs, Gluten, Milk, Nuts"
Müsli oat biscuits - Emco - 60g,chocolates,9.5 g,61 g,21 g,4.3 g,5.9 g,0.06 g,Average impact of products of the same category: C (Score: 57/100),Allergens: Gluten
"LU - Grany Chocolate 5 Cereals Bar x6, 125g (4.5oz) - 125 g",chocolates,5.4 g,65 g,24 g,7.6 g,4.4 g,0.68 g,Average impact of products of the same category: C (Score: 56/100),"Allergens: Gluten, Nuts, Soybeans"
Choco Wafer - Milka - 180 g (6 x 30 g),chocolates,6.7 g,56 g,43 g,18 g,2.8 g,0.28 g,Average impact of products of the same category: C (Score: 57/100),"Allergens: Gluten, Milk, Soybeans"
Chocolat noir Bio 70% - Côte d'Or - 90 g,chocolates,9.1 g,36 g,29 g,25 g,10 g,0.08 g,Processed foods,"Allergens: Gluten, Milk, Soybeans"
Mousse au chocolat vegetal au lait de coco - Andros - 220 g,chocolates,2.2 g,19.3 g,16.2 g,5.3 g,?,0.22 g,Nutri-Score D,Allergens: Soybeans
Dark chocolate - Moser Roth - 25g,chocolates,9.3 g,39.1 g,25.7 g,24.5 g,8.5 g,0.03 g,Green-Score E,Allergens: Soybeans
